POLY_ID,CMP_ID,POLY_RATING,CMP,PERCENT,CMP_CLASS,CLIMATE_POINTS,CLIMATE_CLASS,PROVINCE,SOIL_CODE,SOIL_NAME,SOIL_POINTS,SOIL_CLASS,LANDSCAPE_POINTS,LANDSCAPE_CLASS
BCC0115000001,BC50000011,6WV(6) - 7V(4),1,60,6,81,1,BC,HRO,~~~~~,12,6,100,1
BCC0115000001,BC50000012,6WV(6) - 7V(4),2,40,7,81,1,BC,SMR,~~~~~,0,7,100,1
BCC0115000002,BC50000021,6MV(10),1,60,7,81,1,BC,TWW,~~~~~,0,7,94,1
BCC0115000002,BC50000022,6MV(10),2,40,4,81,1,BC,NPU,~~~~~,42,4,94,1
BCC0115000003,BC50000031,7WV(10),1,60,7,82,1,BC,LHM,d~~~~,6,7,100,1
BCC0115000003,BC50000032,7WV(10),2,40,7,82,1,BC,JUD,d~~~~,1,7,100,1
BCC0115000004,BC50000041,6V(10),1,100,6,78,2,BC,WHC,~~~~~,14,6,90,1
BCC0115000005,BC50000051,NR(10),1,100,NR,82,1,BC,$GP,~~~~~,,NotRated,5,7
BCC0115000006,BC50000061,6MPV(10),1,100,6,82,1,BC,CUB,~~~~~,13,6,40,4
BCC0115000007,BC50000071,6MV(10),1,100,6,82,1,BC,CUB,~~~~~,19,6,94,1
BCC0115000008,BC50000081,7VW(10),1,100,7,81,1,BC,MHW,d~~~~,1,7,100,1
BCC0115000011,BC50000111,7W(10),1,100,7,82,1,BC,JUD,~~~~~,1,7,100,1
BCC0115000012,BC50000121,7VM(10),1,60,7,81,1,BC,BOS,~~~~~,0,7,88,1
BCC0115000012,BC50000122,7VM(10),2,40,7,81,1,BC,CAI,~~~~~,0,7,85,1
BCC0115000013,BC50000131,7W(10),1,100,7,82,1,BC,JUD,d~~~~,1,7,100,1
BCC0115000014,BC50000141,4VW(10),1,100,4,82,1,BC,DFH,~~~~~,30,4,100,1
BCC0115000019,BC50000191,6MPV(10),1,100,6,82,1,BC,CUB,~~~~~,13,6,40,4
BCC0115000020,BC50000201,NR(10),1,100,NR,82,1,BC,$GP,~~~~~,,NotRated,5,7
BCC0115000021,BC50000211,6MV(10),1,60,7,81,1,BC,TWW,~~~~~,0,7,94,1
BCC0115000021,BC50000212,6MV(10),2,40,4,81,1,BC,NPU,~~~~~,42,4,94,1
BCC0115000022,BC50000221,7WV(10),1,100,7,78,2,BC,SCT,~~~~~,5,7,100,1
BCC0115000023,BC50000231,7WV(10),1,70,7,81,1,BC,DLT,sad~~,0,7,100,1
BCC0115000023,BC50000232,7WV(10),2,30,6,81,1,BC,LDR,d~~~~,16,6,100,1
BCC0115000024,BC50000241,7WV(10),1,100,7,78,2,BC,SCT,d~~~~,5,7,100,1
BCC0115000025,BC50000251,7WV(10),1,100,7,82,1,BC,SCT,d~~~~,5,7,100,1
BCC0115000026,BC50000261,5VM(10),1,60,5,78,2,BC,CUB,~~~~~,23,5,100,1
BCC0115000026,BC50000262,5VM(10),2,40,4,78,2,BC,DFH,~~~~~,32,4,100,1
BCC0115000027,BC50000271,6MPV(10),1,100,6,82,1,BC,CUB,~~~~~,19,6,72,2
BCC0115000028,BC50000281,7WV(10),1,60,7,78,2,BC,SCT,~~~~~,5,7,100,1
BCC0115000028,BC50000282,7WV(10),2,40,6,78,2,BC,HRO,~~~~~,11,6,100,1
BCC0115000029,BC50000291,7W(10),1,100,7,82,1,BC,JUD,d~~~~,1,7,100,1
BCC0115000031,BC50000311,3V(10),1,100,3,82,1,BC,MBH,~~~~~,53,3,90,1
BCC0115000032,BC50000321,6MV(10),1,100,6,82,1,BC,CUB,~~~~~,19,6,94,1
